,Text,Text1,giải_trí,lưu_trú,nhà_hàng,ăn_uống,di_chuyển,mua_sắm,Label1,Pair,Count,Label
0,"bánh rất nhiều tôm to , tôm giòn nằm chễm_chệ trên vỏ bánh mềm thơm ngon . món ăn thuộc loại roling in the đẹp , nghĩa_là cuốn với rau , dưa_chuột , giá , vỏ bánh mềm . ngoài_ra , đặc_biệt không_thể thiếu của món ăn là nước_chấm chua_cay rất bình_định , vừa_miệng đến khó tả . đặc_biệt , quán có sữa ngô tuyệt_đỉnh , kết_hợp combo với bánh_xèo cuốn này tạo thành một cặp trời sinh . ai không thích tôm nhảy , có_thể đổi sang bò hoặc mực cũng ngon không kém .",ăn_uống,0,0,0,5,0,0,relate,"bánh rất nhiều tôm to , tôm giòn nằm chễm_chệ trên vỏ bánh mềm thơm ngon . món ăn thuộc loại roling in the đẹp , nghĩa_là cuốn với rau , dưa_chuột , giá , vỏ bánh mềm . ngoài_ra , đặc_biệt không_thể thiếu của món ăn là nước_chấm chua_cay rất bình_định , vừa_miệng đến khó tả . đặc_biệt , quán có sữa ngô tuyệt_đỉnh , kết_hợp combo với bánh_xèo cuốn này tạo thành một cặp trời sinh . ai không thích tôm nhảy , có_thể đổi sang bò hoặc mực cũng ngon không kém . ăn_uống",98,5
1,"đi quy nhơn cứ lo không có piza ăn nhưng nhờ có fody nên đã tìm ra quán này nèe review tốt nên mình cũng rất háo_hức và wow đúng là tốt thật á mọi người ! 1st impresion là quán cách ksan mình 200m , gần biển nữa . đồ_ăn ngon , hợp_khẩu vị . gnochi sốt ngon , piza thơm , phô_mai ngậy , kích_cỡ 25cm mà chưa đến giá tiền xỉu vì rẻ là có thiệt và sườn ăn vừa_miệng . chesecake ăn chua_chua còn brownie thì hơi cứng xíu , ncl ngon . staf nice cực_kì xong còn giới_thiệu con chó giống gì này_nọ cho mình nữa con buldog tên jimy gì ó thì dễ_thương thực_sự cứ ngồi chực ăn hôi buồn_cười lắm ăn 5 người thiệt_hại giá tiền thôi gồm cả nước . chốt lại là kết quán này luôn sau_này đến qn phải kéo thêm người đến mới được keke",ăn_uống,0,0,0,5,0,0,relate,"đi quy nhơn cứ lo không có piza ăn nhưng nhờ có fody nên đã tìm ra quán này nèe review tốt nên mình cũng rất háo_hức và wow đúng là tốt thật á mọi người ! 1st impresion là quán cách ksan mình 200m , gần biển nữa . đồ_ăn ngon , hợp_khẩu vị . gnochi sốt ngon , piza thơm , phô_mai ngậy , kích_cỡ 25cm mà chưa đến giá tiền xỉu vì rẻ là có thiệt và sườn ăn vừa_miệng . chesecake ăn chua_chua còn brownie thì hơi cứng xíu , ncl ngon . staf nice cực_kì xong còn giới_thiệu con chó giống gì này_nọ cho mình nữa con buldog tên jimy gì ó thì dễ_thương thực_sự cứ ngồi chực ăn hôi buồn_cười lắm ăn 5 người thiệt_hại giá tiền thôi gồm cả nước . chốt lại là kết quán này luôn sau_này đến qn phải kéo thêm người đến mới được keke ăn_uống",184,5
2,"các món ăn_ở đây không có gì đặc_sắc , có_lẽ nấu theo kiểu nhà_hàng cho khách tây , nên các món không có j đặc_trưng , nhiều món nhưng tầm_thường , nêm nếm rất lạt_lẽo , không đúng khẩu_vị việt",nhà_hàng,0,0,1,1,0,0,relate,"các món ăn_ở đây không có gì đặc_sắc , có_lẽ nấu theo kiểu nhà_hàng cho khách tây , nên các món không có j đặc_trưng , nhiều món nhưng tầm_thường , nêm nếm rất lạt_lẽo , không đúng khẩu_vị việt nhà_hàng",43,1
3,"các món ăn_ở đây không có gì đặc_sắc , có_lẽ nấu theo kiểu nhà_hàng cho khách tây , nên các món không có j đặc_trưng , nhiều món nhưng tầm_thường , nêm nếm rất lạt_lẽo , không đúng khẩu_vị việt",ăn_uống,0,0,1,1,0,0,relate,"các món ăn_ở đây không có gì đặc_sắc , có_lẽ nấu theo kiểu nhà_hàng cho khách tây , nên các món không có j đặc_trưng , nhiều món nhưng tầm_thường , nêm nếm rất lạt_lẽo , không đúng khẩu_vị việt ăn_uống",43,1
4,"lần thứ 2 quay lại đây , vì giới_thiệu quán cà_phê rộng nhất quy nhơn nên mình mới đưa bạn tới đây chứ thật_sự thì có rất nhiều lựa_chọn khác tốt hơn , thật_sự thì gren chỉ được cái không_gian rộng , đẹp chứ đồ uống thì fail hoàn_toàn , sinh_tố cam thì chua_lè kiểu như pha nước chứ chắc_chắn không phải nguyên_chất cam , sinh_tố cà_chua và dứa cũng tương_tự , lần trước uống capuchino dở rồi nên rút kinh_nghiệm không kêu mấy món đó nữa . thái_độ nhân_viên không thân_thiện , gặp khách không cười . khách đang uống thì đem chổi ra lau rất mất thiện_cảm .",ăn_uống,0,0,0,2,0,0,relate,"lần thứ 2 quay lại đây , vì giới_thiệu quán cà_phê rộng nhất quy nhơn nên mình mới đưa bạn tới đây chứ thật_sự thì có rất nhiều lựa_chọn khác tốt hơn , thật_sự thì gren chỉ được cái không_gian rộng , đẹp chứ đồ uống thì fail hoàn_toàn , sinh_tố cam thì chua_lè kiểu như pha nước chứ chắc_chắn không phải nguyên_chất cam , sinh_tố cà_chua và dứa cũng tương_tự , lần trước uống capuchino dở rồi nên rút kinh_nghiệm không kêu mấy món đó nữa . thái_độ nhân_viên không thân_thiện , gặp khách không cười . khách đang uống thì đem chổi ra lau rất mất thiện_cảm . ăn_uống",116,2
5,rất khuyên bạn nên ghé thăm quán bar thể_thao này,giải_trí,3,0,0,0,0,0,relate,rất khuyên bạn nên ghé thăm quán bar thể_thao này giải_trí,11,3
6,chợ khu 2 . khu_vực bán đồ_ăn và các đồ khác . đồ cũng tưoi . nhiều khách du_lịch ghé mua . nằm đường nguyễn_huệ .,mua_sắm,0,0,0,0,0,5,relate,chợ khu 2 . khu_vực bán đồ_ăn và các đồ khác . đồ cũng tưoi . nhiều khách du_lịch ghé mua . nằm đường nguyễn_huệ . mua_sắm,30,5
7,"đồ_ăn hải_sản tươi ngon , các món canh nấu rất tuyệt . giá_cả hợp_lý cũng không rẻ , không đắt .",ăn_uống,0,0,0,5,0,0,relate,"đồ_ăn hải_sản tươi ngon , các món canh nấu rất tuyệt . giá_cả hợp_lý cũng không rẻ , không đắt . ăn_uống",22,5
8,tôi bắt xe 7 chỗ đi từ sân_bay về nhà.thái độ của tài_xế không vui_vẻ khi đón chúng tôi.mặt thì nhăn_nhó thái_độ thì lơ lơ.gia đình đi 7 người.tài xe mở cốp xe rồi để tôi tự xếp hành_lý vào.sau đó dẹp lun 2 ghế sau để chất vali lên . 5 người trong gia_đình phải dồn vô ngồi ghế giữa . 2 người ngồi ghế trước.lên xe thì nóng.tôi yêu_cầu tài_xế mở máy_lạnh thì tài_xế bảo cả sáng giờ đậu ngoài nắng nên nóng.chạy 10p vẫn chưa thấy mở máy lạnh.mà trong xe nóng như cái lò 5 người ngồi chen nhau.hỏi tiếp thì không trả lời.sau đó mình yêu_cầu nhiều quá mới kêu đang mở.về gần đến nhà mới thấy quạt nó thổi mát được xíu.ngồi trên xe 30p mà như cực hình.yêu cầu công_ty xem_xét lại thái_độ làm_việc của tài_xế chạy xe 6898 lúc 10h sáng ngày 10 tháng 7 . nghiêm_túc phê_bình .,giải_trí,1,0,0,0,1,0,relate,tôi bắt xe 7 chỗ đi từ sân_bay về nhà.thái độ của tài_xế không vui_vẻ khi đón chúng tôi.mặt thì nhăn_nhó thái_độ thì lơ lơ.gia đình đi 7 người.tài xe mở cốp xe rồi để tôi tự xếp hành_lý vào.sau đó dẹp lun 2 ghế sau để chất vali lên . 5 người trong gia_đình phải dồn vô ngồi ghế giữa . 2 người ngồi ghế trước.lên xe thì nóng.tôi yêu_cầu tài_xế mở máy_lạnh thì tài_xế bảo cả sáng giờ đậu ngoài nắng nên nóng.chạy 10p vẫn chưa thấy mở máy lạnh.mà trong xe nóng như cái lò 5 người ngồi chen nhau.hỏi tiếp thì không trả lời.sau đó mình yêu_cầu nhiều quá mới kêu đang mở.về gần đến nhà mới thấy quạt nó thổi mát được xíu.ngồi trên xe 30p mà như cực hình.yêu cầu công_ty xem_xét lại thái_độ làm_việc của tài_xế chạy xe 6898 lúc 10h sáng ngày 10 tháng 7 . nghiêm_túc phê_bình . giải_trí,192,1
9,tôi bắt xe 7 chỗ đi từ sân_bay về nhà.thái độ của tài_xế không vui_vẻ khi đón chúng tôi.mặt thì nhăn_nhó thái_độ thì lơ lơ.gia đình đi 7 người.tài xe mở cốp xe rồi để tôi tự xếp hành_lý vào.sau đó dẹp lun 2 ghế sau để chất vali lên . 5 người trong gia_đình phải dồn vô ngồi ghế giữa . 2 người ngồi ghế trước.lên xe thì nóng.tôi yêu_cầu tài_xế mở máy_lạnh thì tài_xế bảo cả sáng giờ đậu ngoài nắng nên nóng.chạy 10p vẫn chưa thấy mở máy lạnh.mà trong xe nóng như cái lò 5 người ngồi chen nhau.hỏi tiếp thì không trả lời.sau đó mình yêu_cầu nhiều quá mới kêu đang mở.về gần đến nhà mới thấy quạt nó thổi mát được xíu.ngồi trên xe 30p mà như cực hình.yêu cầu công_ty xem_xét lại thái_độ làm_việc của tài_xế chạy xe 6898 lúc 10h sáng ngày 10 tháng 7 . nghiêm_túc phê_bình .,di_chuyển,1,0,0,0,1,0,relate,tôi bắt xe 7 chỗ đi từ sân_bay về nhà.thái độ của tài_xế không vui_vẻ khi đón chúng tôi.mặt thì nhăn_nhó thái_độ thì lơ lơ.gia đình đi 7 người.tài xe mở cốp xe rồi để tôi tự xếp hành_lý vào.sau đó dẹp lun 2 ghế sau để chất vali lên . 5 người trong gia_đình phải dồn vô ngồi ghế giữa . 2 người ngồi ghế trước.lên xe thì nóng.tôi yêu_cầu tài_xế mở máy_lạnh thì tài_xế bảo cả sáng giờ đậu ngoài nắng nên nóng.chạy 10p vẫn chưa thấy mở máy lạnh.mà trong xe nóng như cái lò 5 người ngồi chen nhau.hỏi tiếp thì không trả lời.sau đó mình yêu_cầu nhiều quá mới kêu đang mở.về gần đến nhà mới thấy quạt nó thổi mát được xíu.ngồi trên xe 30p mà như cực hình.yêu cầu công_ty xem_xét lại thái_độ làm_việc của tài_xế chạy xe 6898 lúc 10h sáng ngày 10 tháng 7 . nghiêm_túc phê_bình . di_chuyển,192,1
